symbol,identifier,series,isin,industry,companyName,lastPrice,change,pChange,totalTradedVolume,totalTradedValue,yearHigh,nearWKH,nearWKL,perChange365d,perChange30d,key,index,indexSymbol,last,variation,percentChange,yearLow,declines,advances,unchanged,previousDay,oneWeekAgo,oneMonthAgo,oneYearAgo
JKCEMENT,JKCEMENTEQN,EQ,INE823G01014,Cement & Cement Products,JK Cement Limited,4797.2,-15.55,-0.32,44964.0,214832146.68,4895.5,2.007966499846802,-57.14870686125169,33.31,3.95,,,,,,,,,,,,,,
MANYAVAR,MANYAVAREQN,EQ,INE825V01034,Speciality Retail,Vedant Fashions Limited,1287.3,-4.0,-0.31,320564.0,412940927.88,1487.9,13.482088850057137,-45.285254782461486,-0.64,9.85,,,,,,,,,,,,,,
BATAINDIA,BATAINDIAEQN,EQ,INE176A01028,Footwear,Bata India Limited,1438.3,-4.05,-0.28,62781.0,90437913.92999999,1724.25,16.584022038567497,-13.34121355397951,-13.75,-10.29,,,,,,,,,,,,,,
NIACL,NIACLEQN,EQ,INE470Y01017,General Insurance,The New India Assurance Company Limited,240.25,-0.65,-0.27,322419.0,77564338.83,324.7,26.008623344625803,-84.66564181398924,103.81,-5.05,,,,,,,,,,,,,,
MSUMI,MSUMIEQN,EQ,INE0FS801015,Auto Components & Equipments,Motherson Sumi Wiring India Limited,69.8,-0.13,-0.19,2272489.0,158915155.77,80.0,12.750000000000004,-20.656871218668964,6.79,-3.55,,,,,,,,,,,,,,
3MINDIA,3MINDIAEQN,EQ,INE470A01017,Diversified,3M India Limited,35756.0,-51.3,-0.14,2284.0,81792643.76,40856.5,12.483937684334194,-25.46427149070404,14.49,-9.51,,,,,,,,,,,,,,
CRISIL,CRISILEQN,EQ,INE007A01025,Other Financial Services,CRISIL Limited,4724.3,-4.35,-0.09,13527.0,63939694.13999999,5268.5,10.32931574451931,-29.054552408009407,13.56,3.49,,,,,,,,,,,,,,
SOLARINDS,SOLARINDSEQN,EQ,INE343H01029,Explosives,Solar Industries India Limited,10773.0,5.7,0.05,36795.0,397404765.45,13298.0,18.987817716949916,-137.2907488986784,125.71,0.87,,,,,,,,,,,,,,
ISEC,ISECEQN,EQ,INE763G01038,Stockbroking & Allied,ICICI Securities Limited,856.9,0.85,0.1,110687.0,94921850.59,882.9,2.944840865330162,-40.97227934523319,31.85,8.08,,,,,,,,,,,,,,
RAMCOCEM,RAMCOCEMEQN,EQ,INE331A01037,Cement & Cement Products,The Ramco Cements Limited,852.2,1.1,0.13,147347.0,125264105.11,1058.2,19.467019467019465,-21.742857142857147,-6.42,0.42,,,,,,,,,,,,,,
AIAENG,AIAENGEQN,EQ,INE212H01026,Castings & Forgings,AIA Engineering Limited,4312.65,5.55,0.13,53480.0,230196638.00000003,4949.95,12.874877524015398,-29.119324561009545,15.97,-4.53,,,,,,,,,,,,,,
SUNDRMFAST,SUNDRMFASTEQN,EQ,INE387A01021,Auto Components & Equipments,Sundram Fasteners Limited,1382.15,2.1,0.15,14686.0,20344956.38,1505.95,8.220724459643412,-37.79472608543943,6.16,-3.1,,,,,,,,,,,,,,
KAJARIACER,KAJARIACEREQN,EQ,INE217B01036,Ceramics,Kajaria Ceramics Limited,1476.5,5.2,0.35,245343.0,361059025.95000005,1545.0,4.433656957928803,-32.97608862070519,-7.41,-7.51,,,,,,,,,,,,,,
GODREJIND,GODREJINDEQN,EQ,INE233A01035,Diversified,Godrej Industries Limited,1228.5,6.65,0.54,70524.0,86508264.60000001,1314.0,6.506849315068493,-124.17883211678833,88.78,9.49,,,,,,,,,,,,,,
HONAUT,HONAUTEQN,EQ,INE671A01010,Industrial Products,Honeywell Automation India Limited,49994.65,417.85,0.84,4148.0,206952638.20000002,59994.0,16.667250058339164,-42.93292583560385,29.37,-5.49,,,,,,,,,,,,,,
COROMANDEL,COROMANDELEQN,EQ,INE169A08010,Fertilizers,Coromandel International Limited,1723.0,17.9,1.05,319995.0,552880961.1,1789.0,3.68921185019564,-69.07904420784064,58.26,7.28,,,,,,,,,,,,,,
DEVYANI,DEVYANIEQN,EQ,INE872J01023,Restaurants,Devyani International Limited,190.0,2.45,1.31,967673.0,182174118.98,223.0,14.798206278026905,-33.567662565905096,-10.73,-1.09,,,,,,,,,,,,,,
